PUBLISH_DATE,TRADING_NAME,BRAND_DESCRIPTION,PRODUCT_DESCRIPTION,PRODUCT_PRICE,ADDRESS,LOCATION,POSTCODE,AREA_DESCRIPTION,REGION_DESCRIPTION,
01/02/2022,53 Mile Roadhouse,United,ULP,160.9,31 South Western Hwy,PINJARRA,6208,Murray,Peel,
01/02/2022,53 Mile Roadhouse,United,Diesel,160.9,31 South Western Hwy,PINJARRA,6208,Murray,Peel,
01/02/2022,53 Mile Roadhouse,United,98 RON,174.9,31 South Western Hwy,PINJARRA,6208,Murray,Peel,
01/02/2022,7-Eleven Ascot,7-Eleven,ULP,176.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/02/2022,7-Eleven Ascot,7-Eleven,Brand Diesel,171.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/02/2022,7-Eleven Ascot,7-Eleven,PULP,188.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/02/2022,7-Eleven Ascot,7-Eleven,98 RON,196.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/02/2022,7-Eleven Balcatta,7-Eleven,ULP,173.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/02/2022,7-Eleven Balcatta,7-Eleven,Brand Diesel,167.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/02/2022,7-Eleven Balcatta,7-Eleven,PULP,185.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/02/2022,7-Eleven Balcatta,7-Eleven,98 RON,193.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/02/2022,7-Eleven Balga,7-Eleven,ULP,173.9,102 Princess Rd,BALGA,6061,North of River,Metro,
01/02/2022,7-Eleven Balga,7-Eleven,Brand Diesel,169.9,102 Princess Rd,BALGA,6061,North of River,Metro,
01/02/2022,7-Eleven Balga,7-Eleven,PULP,185.9,102 Princess Rd,BALGA,6061,North of River,Metro,
01/02/2022,7-Eleven Balga,7-Eleven,98 RON,193.9,102 Princess Rd,BALGA,6061,North of River,Metro,
01/02/2022,7-Eleven Banksia Grove,7-Eleven,ULP,169.9,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,
01/02/2022,7-Eleven Banksia Grove,7-Eleven,Brand Diesel,167.9,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,
01/02/2022,7-Eleven Banksia Grove,7-Eleven,PULP,181.9,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,
