Station Name,Postcode,Estimated Suburb/Area,Latitude,Longitude
7-Eleven Balcatta,6021,Balcatta / Stirling,-31.8845,115.7985
7-Eleven Banksia Grove,6031,Banksia Grove / Neerabup,-31.705,115.794
7-Eleven Butler,6036,Butler / Jindalee,-31.6485,115.7195
7-Eleven Joondalup,6027,Joondalup / Beldon / Edgewater / Mullaloo / Ocean Reef,-31.744,115.7615
7-Eleven Stirling,6021,Balcatta / Stirling,-31.8665,115.821
Ampol Foodary Butler,6036,Butler / Jindalee,-31.635,115.697
Ampol Foodary Carine,6020,Carine / Sorrento,-31.8355,115.7705
Ampol Foodary Clarkson,6030,Clarkson / Merriwa / Mindarie / Quinns Rocks,-31.7015,115.7135
Ampol Foodary Doubleview,6018,Karrinyup / Doubleview / Gwelup,-31.893,115.781
Ampol Foodary East Perth,6000,Perth / East Perth,-31.955,115.874
Ampol Foodary Glendalough,6016,Glendalough,-31.921,115.8165
Ampol Foodary Joondalup,6027,Joondalup / Beldon / Edgewater / Mullaloo / Ocean Reef,-31.7395,115.775
Ampol Foodary Karrinyup,6018,Karrinyup / Doubleview / Gwelup,-31.875,115.772
Ampol Foodary Kingsley,6026,Kingsley / Woodvale,-31.7885,115.8075
Ampol Foodary Leederville,6007,Leederville,-31.9505,115.8245
Ampol Foodary Mosman Park,6012,Mosman Park,-32.017,115.76
Ampol Foodary Nedlands,6009,Nedlands,-31.9875,115.8185
Ampol Foodary North Wanneroo,6032,North Wanneroo,-31.722,115.8005
Ampol Foodary Northlands,6021,Balcatta / Stirling,-31.8665,115.821
Ampol Foodary Scarborough,6019,Scarborough,-31.885,115.748
Ampol Foodary Subiaco,6008,Subiaco,-31.9345,115.8285
Ampol Foodary Yanchep,6035,Yanchep,-31.5635,115.6195
BP 2go Woodvale,6026,Kingsley / Woodvale,-31.811,115.803
BP Balcatta,6021,Balcatta / Stirling,-31.8755,115.8255
BP Beldon,6027,Joondalup / Beldon / Edgewater / Mullaloo / Ocean Reef,-31.744,115.7615
BP Clarkson,6030,Clarkson / Merriwa / Mindarie / Quinns Rocks,-31.6835,115.736
BP Connect Beaumauris,6027,Joondalup / Beldon / Edgewater / Mullaloo / Ocean Reef,-31.735,115.757
BP Connect Currambine,6028,Currambine,-31.7195,115.7455
BP Connect East Perth,6004,East Perth,-31.9665,115.8585
BP Connect Main Street,6017,Osborne Park,-31.914,115.811
BP Connect Merriwa,6030,Clarkson / Merriwa / Mindarie / Quinns Rocks,-31.6925,115.7405
BP Connect North Perth,6006,North Perth / Mount Lawley,-31.93,115.8455
BP Connect Padbury,6025,Padbury / Whitfords,-31.8105,115.792
BP Connect Wembley,6014,Wembley / Floreat / Jolimont,-31.929,115.788
BP Connect West Coast,6019,Scarborough,-31.8805,115.7615
BP Edgewater,6027,Joondalup / Beldon / Edgewater / Mullaloo / Ocean Reef,-31.7575,115.7525
BP Greenwood,6024,Greenwood / Warwick,-31.84,115.812
BP Greenwood North,6024,Greenwood / Warwick,-31.8355,115.8255
BP Highgate,6000,Perth / East Perth,-31.9505,115.856
BP Jindalee,6036,Butler / Jindalee,-31.6395,115.715
BP Mindarie,6030,Clarkson / Merriwa / Mindarie / Quinns Rocks,-31.679,115.718
BP Mullaloo,6027,Joondalup / Beldon / Edgewater / Mullaloo / Ocean Reef,-31.7305,115.7705
BP Nookenburra,6018,Karrinyup / Doubleview / Gwelup,-31.8975,115.7675
BP Rosegarden,6009,Nedlands,-31.992,115.805
