PUBLISH_DATE,TRADING_NAME,BRAND_DESCRIPTION,PRODUCT_DESCRIPTION,PRODUCT_PRICE,ADDRESS,LOCATION,POSTCODE,AREA_DESCRIPTION,REGION_DESCRIPTION,TGP_Perth,margin,delta_price,Latitude,Longitude
2022-01-01,7-Eleven Balcatta,7-Eleven,ULP,162.5,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,148.1,14.400000000000006,,-31.8845,115.7985
2022-01-02,7-Eleven Balcatta,7-Eleven,ULP,169.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,148.1,21.80000000000001,7.400000000000006,-31.8845,115.7985
2022-01-03,7-Eleven Balcatta,7-Eleven,ULP,159.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,149.2,10.5,-10.200000000000017,-31.8845,115.7985
2022-01-04,7-Eleven Balcatta,7-Eleven,ULP,156.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,149.4,7.299999999999983,-3.0,-31.8845,115.7985
2022-01-05,7-Eleven Balcatta,7-Eleven,ULP,151.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,150.0,1.9000000000000057,-4.799999999999983,-31.8845,115.7985
2022-01-06,7-Eleven Balcatta,7-Eleven,ULP,151.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,150.4,1.5,0.0,-31.8845,115.7985
2022-01-07,7-Eleven Balcatta,7-Eleven,ULP,155.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,150.7,5.200000000000017,4.0,-31.8845,115.7985
2022-01-08,7-Eleven Balcatta,7-Eleven,ULP,152.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,150.7,2.0,-3.200000000000017,-31.8845,115.7985
2022-01-09,7-Eleven Balcatta,7-Eleven,ULP,150.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,150.7,0.20000000000001705,-1.799999999999983,-31.8845,115.7985
2022-01-10,7-Eleven Balcatta,7-Eleven,ULP,148.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,151.0,-2.3000000000000114,-2.200000000000017,-31.8845,115.7985
2022-01-11,7-Eleven Balcatta,7-Eleven,ULP,148.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,151.4,-2.5,0.20000000000001705,-31.8845,115.7985
2022-01-12,7-Eleven Balcatta,7-Eleven,ULP,183.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,151.8,32.099999999999994,35.0,-31.8845,115.7985
2022-01-13,7-Eleven Balcatta,7-Eleven,ULP,179.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,152.1,27.80000000000001,-4.0,-31.8845,115.7985
2022-01-14,7-Eleven Balcatta,7-Eleven,ULP,176.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,152.6,24.30000000000001,-3.0,-31.8845,115.7985
2022-01-15,7-Eleven Balcatta,7-Eleven,ULP,173.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,152.6,21.30000000000001,-3.0,-31.8845,115.7985
2022-01-16,7-Eleven Balcatta,7-Eleven,ULP,171.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,152.6,19.099999999999994,-2.200000000000017,-31.8845,115.7985
2022-01-17,7-Eleven Balcatta,7-Eleven,ULP,168.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,153.0,15.699999999999989,-3.0,-31.8845,115.7985
2022-01-18,7-Eleven Balcatta,7-Eleven,ULP,163.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,153.4,10.5,-4.799999999999983,-31.8845,115.7985
2022-01-19,7-Eleven Balcatta,7-Eleven,ULP,162.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,154.3,8.399999999999977,-1.200000000000017,-31.8845,115.7985
2022-01-20,7-Eleven Balcatta,7-Eleven,ULP,161.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,155.0,6.699999999999989,-1.0,-31.8845,115.7985
2022-01-21,7-Eleven Balcatta,7-Eleven,ULP,156.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,155.9,0.799999999999983,-5.0,-31.8845,115.7985
2022-01-22,7-Eleven Balcatta,7-Eleven,ULP,153.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,155.9,-2.200000000000017,-3.0,-31.8845,115.7985
2022-01-23,7-Eleven Balcatta,7-Eleven,ULP,150.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,155.9,-5.200000000000017,-3.0,-31.8845,115.7985
2022-01-24,7-Eleven Balcatta,7-Eleven,ULP,151.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,156.7,-5.0,1.0,-31.8845,115.7985
2022-01-25,7-Eleven Balcatta,7-Eleven,ULP,152.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,157.0,-4.300000000000011,1.0,-31.8845,115.7985
